storyPriority,storyType,storyTitle,storyPoints,userPreviousSuccessRate,completed,userSkills,skills,tags
3,6,Refactor database schema,6.225680244301807,0.6406335099109982,True,"['SQL', 'MongoDB', 'PostgreSQL']","['Database Schema', 'Refactoring', 'Database Design']","['Database', 'Refactor', 'Schema']"
3,2,Task: Implement notification system,5.285259383973832,0.4869900710681231,False,"['Notification System', 'API Integration', 'Cloud Computing']","['Notification', 'System', 'Task']","['Backend', 'Notification', 'System']"
2,3,Spike: Test new caching framework,4.009760157346927,0.6102205867758665,False,"['Caching Framework', 'Testing', 'Performance Optimization']","['Caching', 'Framework', 'Test']","['Performance', 'Caching', 'Test']"
5,2,Task: Implement a content delivery network for high traffic using AWS,11.774546502470328,0.569914065226374,False,"['CDN', 'API Integration', 'Cloud Computing']","['CDN', 'Implementation', 'Task']","['Backend', 'CDN', 'Implementation']"
0,5,Research: New machine learning algorithm,1.912105842281506,0.9005372889634692,True,"['Research', 'Machine Learning', 'Deep Learning']","['Research', 'New Tech', 'Machine Learning']","['Research', 'Machine Learning', 'New Tech']"
0,5,Research: New machine learning algorithm for recommender systems,4.6428801821911785,0.96340291995804,True,"['Research', 'Machine Learning', 'Deep Learning']","['Research', 'New Tech', 'Machine Learning']","['Research', 'Machine Learning', 'New Tech']"
4,6,Refactor database schema,6.342147973767356,0.656779189703954,True,"['SQL', 'MongoDB', 'PostgreSQL']","['Database Schema', 'Refactoring', 'Database Design']","['Database', 'Refactor', 'Schema']"
1,5,Research: New natural language processing algorithm for sentiment analysis,5.635680377250755,0.8987106413185129,True,"['Research', 'NLP', 'Deep Learning']","['Research', 'New Tech', 'NLP']","['Research', 'NLP', 'New Tech']"
4,6,Refactor: Optimize database schema for performance,7.950334817907316,0.614666932527804,False,"['Database Optimization', 'Schema Design', 'Database Performance']","['Database', 'Refactor', 'Optimization']","['Database', 'Refactor', 'Optimization']"
0,0,User story: Improve user experience,1.8993600745327543,0.96340291995804,True,"['UX Design', 'User Experience', 'Human-Computer Interaction']","['User Experience', 'Improvement', 'UX']","['User Experience', 'Improvement', 'UX']"
2,6,Refactor: Simplify database queries for performance,4.812793121944698,0.6493988915366453,False,"['Database Optimization', 'Query Simplification', 'Database Performance']","['Database', 'Refactor', 'Simplification']","['Database', 'Refactor', 'Simplification']"
3,2,Task: Implement a load balancer for high traffic using NGINX,9.826119290637092,0.5878669265951264,False,"['Load Balancer', 'API Integration', 'Cloud Computing']","['Load Balancer', 'Implementation', 'Task']","['Backend', 'Load Balancer', 'Implementation']"
4,4,Bug: Fix UI issue in React application,10.856897378822085,0.6366634411678451,True,"['Bug Fixing', 'UI', 'React']","['Bug Fixing', 'UI', 'Issue']","['Frontend', 'Bug Fix', 'UI']"
0,5,Research: New data storage solution,1.5,0.988,True,"['Research', 'Data Storage', 'Cloud Computing']","['Research', 'New Tech', 'Data Storage']","['Research', 'Data Storage', 'New Tech']"
2,3,Implement user profile page,3.522300235781722,0.715132553000402,True,"['Python', 'JavaScript', 'HTML/CSS']","['Front-end Development', 'User Profile Page']","['Frontend', 'User Profile', 'Page']"
3,0,User story: Improve search functionality for e-commerce site,3.4216630861879582,0.8475645072597358,True,"['Search Engine Optimization', 'UI Design', 'User Experience']","['Search', 'Functionality', 'User Story']","['Search', 'Functionality', 'User']"
1,1,Task: Develop a desktop application for Windows,5.669641884626475,0.6287956090036686,False,"['Desktop App Development', 'Windows', 'Python']","['Desktop App', 'Development', 'Windows']","['Desktop App', 'Development', 'Windows']"
1,1,Task: Develop a web application for social media,6.342311260768598,0.6101369855910967,False,"['Web App Development', 'Social Media', 'JavaScript']","['Web App', 'Development', 'Social Media']","['Web App', 'Development', 'Social Media']"
2,0,User story: Enhance security,3.0750600052211388,0.8648271951727015,True,"['Security', 'Authentication', 'Authorization']","['Security', 'Enhancement', 'User Story']","['Security', 'Enhancement', 'User']"
5,4,Bug: Fix login issue on Android,8.16812813886865,0.5634904270596673,True,"['Bug Fixing', 'Android Development', 'Authentication']","['Bug Fixing', 'Login Issue', 'Fix Bug']","['Backend', 'Bug Fix', 'Login']"
5,2,Task: Implement a load balancer,6.63059813625808,0.5644233582302959,False,"['Load Balancer', 'API Integration', 'Cloud Computing']","['Load Balancer', 'Implementation', 'Task']","['Backend', 'Load Balancer', 'Implementation']"
1,0,User story: Enhance performance,3.6,0.928,True,"['Performance Optimization', 'Code Optimization', 'Database Performance']","['Performance', 'Enhancement', 'User Story']","['Performance', 'Enhancement', 'User']"
4,6,Refactor: Simplify database queries,4.0360162568527445,0.6390578518805831,False,"['Database Optimization', 'Query Simplification', 'Database Performance']","['Database', 'Refactor', 'Simplification']","['Database', 'Refactor', 'Simplification']"
2,3,Spike: Test new logging library,4.21119398170161,0.5878669265951264,False,"['Logging Library', 'Testing', 'Performance Optimization']","['Logging', 'Library', 'Test']","['Performance', 'Logging', 'Test']"
5,4,Bug: Fix database issue on MySQL,9.224520150394005,0.5727205967633678,True,"['Bug Fixing', 'MySQL Development', 'Database Administration']","['Bug Fixing', 'Database Issue', 'Fix Bug']","['Backend', 'Bug Fix', 'Database']"
0,0,User story: Improve scalability,3.1197516374066683,0.8457378596147794,True,"['Scalability', 'System Design', 'Cloud Computing']","['Scalability', 'Improvement', 'User Story']","['Scalability', 'Improvement', 'User']"
3,6,Refactor: Improve code organization,5.170480202894721,0.6386713858377638,True,"['Code Organization', 'Refactoring', 'Code Quality']","['Code Quality', 'Refactor', 'Organization']","['Code Quality', 'Refactor', 'Organization']"
0,0,User story: Improve accessibility,2.31465444065656,0.8758775457565587,True,"['Accessibility', 'UI Design', 'UX']","['Accessibility', 'Improvement', 'User Story']","['Accessibility', 'Improvement', 'User']"
2,0,User story: Enhance user experience for accessibility,2.918477338219141,0.8530444501946047,True,"['Accessibility', 'UI Design', 'User Experience']","['Accessibility', 'Enhancement', 'User Story']","['Accessibility', 'Enhancement', 'User']"
2,4,Bug: Fix UI issue in React application,9.70565814147922,0.5905454310078965,True,"['Bug Fixing', 'UI', 'React']","['Bug Fixing', 'UI', 'Issue']","['Frontend', 'Bug Fix', 'UI']"
2,5,Research new tech stack,4.21119398170161,0.4657496423265735,False,"['Research', 'Machine Learning', 'Data Science']","['Tech Stack', 'Research', 'New Tech']","['Research', 'Tech Stack', 'New Tech']"
4,6,Refactor database schema,5.9,0.653,True,"['SQL', 'MongoDB', 'PostgreSQL']","['Database Schema', 'Refactoring', 'Database Design']","['Database', 'Refactor', 'Schema']"
