storyType,storyPriority,storyTitle,storyPoints,userPreviousSuccessRate,userAverageSpentHours,completed,userSkills,skills,tags
2,1,Fix styling issues on dashboard,12,1.0,14.601895,False,[],"['Frontent', 'JavaScript']","['UI', 'frontend']"
3,1,Resolve logout session bug,3,1.0,14.335423,True,['.NET'],"['Backend', 'Python']","['sessions', 'critical', 'bug']"
6,2,Design new landing page,12,1.0,14.335423,False,['.NET'],"['Frontent', 'Vue.js', 'React']","['responsive', 'frontend']"
1,3,Fix styling issues on dashboard,13,0.99674267,13.545603,False,"['C++', 'Cloud engineering', 'C', '.NET']","['Frontent', 'JavaScript']","['frontend', 'styling', 'UI']"
2,0,Optimize database queries,6,1.0,14.335423,False,['.NET'],"['NoSQL', 'Relational databases', 'MySQL']","['database', 'optimization']"
1,3,Fix styling issues on dashboard,1,1.0,13.903786,False,[],"['Frontent', 'JavaScript']","['styling', 'frontend']"
3,0,Implement login functionality,10,1.0,14.455538,True,[],"['C#', 'Backend', '.NET']","['authentication', 'login']"
2,3,Resolve logout session bug,9,1.0,13.903786,True,[],"['Backend', 'Python']","['sessions', 'critical']"
6,2,Refactor authentication module,5,1.0,14.250814,True,"['Java', 'Angular', 'Backend', 'Frontent', '.NET']","['Java', 'Backend']","['refactoring', 'security', 'authentication']"
0,3,Set up CI/CD pipeline,3,1.0,14.262997,False,"['C#', 'Backend', 'Cloud engineering', 'MySQL', 'SQL Server', '.NET']","['Cloud engineering', 'Devops']","['CI/CD', 'deployment', 'automation']"
6,1,Fix styling issues on dashboard,3,1.0,14.601895,True,[],"['Frontent', 'JavaScript']","['UI', 'frontend']"
4,0,Set up CI/CD pipeline,9,1.0,13.903786,True,[],"['Cloud engineering', 'Devops']","['automation', 'deployment']"
6,0,Refactor authentication module,10,1.0,14.335423,False,['.NET'],"['Java', 'Backend']","['refactoring', 'authentication', 'security']"
2,0,Implement login functionality,7,1.0,13.903786,False,[],"['C#', 'Backend', '.NET']","['authentication', 'backend', 'login']"
2,0,Fix styling issues on dashboard,10,1.0,14.262997,True,"['C#', 'Backend', 'Cloud engineering', 'MySQL', 'SQL Server', '.NET']","['Frontent', 'JavaScript']","['UI', 'styling', 'frontend']"
6,2,Enhance user profile settings,1,1.0,14.339683,False,[],"['Frontent', 'JavaScript']","['enhancements', 'UX', 'profile']"
2,1,Fix styling issues on dashboard,5,1.0,14.262997,False,"['C#', 'Backend', 'Cloud engineering', 'MySQL', 'SQL Server', '.NET']","['Frontent', 'JavaScript']","['styling', 'UI']"
6,1,Add unit tests for services,2,1.0,14.455538,False,[],"['C#', 'Testing', 'Python']","['testing', 'unit-tests']"
5,0,Add unit tests for services,10,1.0,14.601895,False,[],"['C#', 'Testing', 'Python']","['testing', 'unit-tests']"
2,3,Design new landing page,12,1.0,14.262997,False,"['C#', 'Backend', 'Cloud engineering', 'MySQL', 'SQL Server', '.NET']","['Frontent', 'Vue.js', 'React']","['design', 'responsive', 'frontend']"
2,4,Design new landing page,11,1.0,14.335423,False,['.NET'],"['Frontent', 'Vue.js', 'React']","['design', 'frontend', 'responsive']"
4,3,Optimize database queries,6,1.0,14.455538,False,[],"['NoSQL', 'Relational databases', 'MySQL']","['queries', 'database', 'optimization']"
0,1,Resolve logout session bug,11,1.0,14.335423,False,['.NET'],"['Backend', 'Python']","['sessions', 'bug']"
4,1,Refactor authentication module,5,1.0,14.339683,False,[],"['Java', 'Backend']","['refactoring', 'security']"
1,1,Design new landing page,1,1.0,13.903786,False,[],"['Frontent', 'Vue.js', 'React']","['frontend', 'design', 'responsive']"
4,0,Enhance user profile settings,10,1.0,13.903786,False,[],"['Frontent', 'JavaScript']","['UX', 'profile']"
6,2,Set up CI/CD pipeline,2,1.0,14.601895,True,[],"['Cloud engineering', 'Devops']","['deployment', 'automation', 'CI/CD']"
0,1,Set up CI/CD pipeline,9,1.0,13.903786,False,[],"['Cloud engineering', 'Devops']","['CI/CD', 'automation', 'deployment']"
2,3,Optimize database queries,2,1.0,14.262997,False,"['C#', 'Backend', 'Cloud engineering', 'MySQL', 'SQL Server', '.NET']","['NoSQL', 'Relational databases', 'MySQL']","['optimization', 'queries']"
5,1,Optimize database queries,5,1.0,14.262997,True,"['C#', 'Backend', 'Cloud engineering', 'MySQL', 'SQL Server', '.NET']","['NoSQL', 'Relational databases', 'MySQL']","['queries', 'optimization']"
4,1,Optimize database queries,7,1.0,13.903786,False,[],"['NoSQL', 'Relational databases', 'MySQL']","['queries', 'database', 'optimization']"
1,2,Fix styling issues on dashboard,9,1.0,14.262997,False,"['C#', 'Backend', 'Cloud engineering', 'MySQL', 'SQL Server', '.NET']","['Frontent', 'JavaScript']","['frontend', 'styling', 'UI']"
3,3,Refactor authentication module,11,1.0,14.601895,False,[],"['Java', 'Backend']","['authentication', 'security']"
1,2,Add unit tests for services,12,1.0,14.335423,False,['.NET'],"['C#', 'Testing', 'Python']","['QA', 'testing']"
6,2,Add unit tests for services,8,1.0,13.903786,False,[],"['C#', 'Testing', 'Python']","['QA', 'unit-tests', 'testing']"
0,1,Design new landing page,8,0.99674267,13.545603,False,"['C++', 'Cloud engineering', 'C', '.NET']","['Frontent', 'Vue.js', 'React']","['design', 'frontend']"
1,4,Refactor authentication module,9,0.99674267,13.545603,False,"['C++', 'Cloud engineering', 'C', '.NET']","['Java', 'Backend']","['security', 'authentication']"
0,4,Set up CI/CD pipeline,7,1.0,14.335423,False,['.NET'],"['Cloud engineering', 'Devops']","['CI/CD', 'deployment', 'automation']"
3,1,Set up CI/CD pipeline,3,1.0,14.455538,True,[],"['Cloud engineering', 'Devops']","['CI/CD', 'automation', 'deployment']"
0,0,Fix styling issues on dashboard,8,1.0,14.262997,False,"['C#', 'Backend', 'Cloud engineering', 'MySQL', 'SQL Server', '.NET']","['Frontent', 'JavaScript']","['UI', 'styling']"
2,2,Optimize database queries,10,0.99674267,13.545603,False,"['C++', 'Cloud engineering', 'C', '.NET']","['NoSQL', 'Relational databases', 'MySQL']","['queries', 'database']"
4,3,Create API endpoint for user data,13,1.0,14.250814,True,"['Java', 'Angular', 'Backend', 'Frontent', '.NET']","['Backend', 'SQL Server', 'Node.js']","['backend', 'API']"
0,0,Optimize database queries,8,1.0,14.339683,True,[],"['NoSQL', 'Relational databases', 'MySQL']","['queries', 'optimization']"
5,0,Refactor authentication module,1,1.0,14.262997,True,"['C#', 'Backend', 'Cloud engineering', 'MySQL', 'SQL Server', '.NET']","['Java', 'Backend']","['authentication', 'security', 'refactoring']"
6,4,Implement login functionality,1,1.0,14.335423,False,['.NET'],"['C#', 'Backend', '.NET']","['authentication', 'login']"
6,2,Add unit tests for services,4,1.0,14.250814,False,"['Java', 'Angular', 'Backend', 'Frontent', '.NET']","['C#', 'Testing', 'Python']","['testing', 'QA']"
4,1,Design new landing page,13,0.99674267,13.545603,False,"['C++', 'Cloud engineering', 'C', '.NET']","['Frontent', 'Vue.js', 'React']","['responsive', 'design']"
4,4,Enhance user profile settings,6,1.0,14.250814,False,"['Java', 'Angular', 'Backend', 'Frontent', '.NET']","['Frontent', 'JavaScript']","['UX', 'enhancements', 'profile']"
